"","Dolphin.ID","Dolphin.Name","Temporary.Dolphin.Ind","Sex","Sex.Certainty","Mother.ID","Father.ID","Father.ID.Certainty","Father.Notes","Haplotype","Haplotype.Certainty","Haplotype.Kin.ID.Based.On","Haplotype.Kin.DNA.Sample.Based.On","Haplotype.Researcher","Haplotype.Notes","Birth.Date.Accuracy","Birth.Date","Birth.Date.Earliest","Birth.Date.Latest","Birth.Date.Primary.Reason","Birth.Date.Secondary.Reason","Birth.Date.Primary.Assigner","Birth.Date.Secondary.Assigner","Birth.Notes","Death.Date.Accuracy","Death.Date","Death.Date.Primary.Reason","Death.Date.Secondary.Reason","Death.Date.Calc.Type","Death.Date.Primary.Assigner","Death.Date.Secondary.Assigner","Death.Notes","Weaning.Date.Accuracy","Weaning.Date","Weaning.Date.Primary.Reason","Weaning.Date.Secondary.Reason","Weaning.Date.Calc.Type","Weaning.Date.Primary.Assigner","Weaning.Date.Secondary.Assigner","Weaning.Age.Known","Weaning.Notes","Last.Seen.Year","Dolphin.Notes"
"1","ASY","ASTRAY","False","MALE","HIGH","AMO","","","","E","","",NA,"","","WEEK ESTIMATE",2013-01-01,"2012-12-15","2013-01-15","","","JM","","","","","","","","","","","MONTH ESTIMATE","2016-05-01","GAP","","DEFAULT DATE","JM","","YES","ASY last seen in bp on 18Sep15 by EK, also last sighting of AMO; ASY seen 25Aug18 by TCC; think AMO died and ASY orphaned. As we saw AMO every year the estimated weaning date is 2016.",NA,"JM estimated 4-5 mos old; range 15-dec12 to 15jan13"
"2","AZU","AZURE","False","MALE","HIGH","IND","","","","H","","",NA,"","","MONTH ESTIMATE",2012-11-01,"2012-09-15","2012-12-01","","","MMW","","approx 1 year (MMW) but a little younger based on sighting record for IND (JM); Entered by CBK","","","","","","","","","MONTH ESTIMATE","2016-01-03","","","MIDPOINT","EK","","YES","",NA,""
"3","BBN","BLUEBONE","False","MALE","HIGH","SPE","","","happlotype based on haplotype of mother","H","","",NA,"","","MONTH ESTIMATE",2012-11-01,"","","","","EMP","","seen on 9-Jul-2013 looking very small and healthy","","","","","","","","","MONTH ESTIMATE","2016-12-03","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","SPE might have been pregnant in 2016 and weaned BBN late 2016 or lost calf and weaned in 2017.",NA,""
"4","BLM","BLIMEY","False","FEMALE","HIGH","BSS","URC","HIGH","SNPs both parents.","A","","",NA,"","","DAY ESTIMATE",2011-11-20,"","2011-11-21","","","EK","","","","","","","","","","","DAY ESTIMATE","2015-06-03","REDUCED MC ASSOCIATION","","MIDPOINT","EK","JM","YES","",NA,"looked to be born 20-Nov-11 late night/21-Nov-11 early morning on 22-Nov-11-EK"
"5","BOR","BORIS","False","FEMALE","HIGH","BOM","RIC","LOW","Based on information from halfsiblings with known mothers","H","HIGH","",NA,"VF","","DAY ESTIMATE",2012-10-14,"","","","","EK","","","","","","","","","","","DAY ESTIMATE","2018-06-23","END BP","REDUCED MC ASSOCIATION","MIDPOINT","JM","","YES","Seen 16Jun18 in bp by JM; Both BOM and BOR seen in 28Jun18 JM PUB follow but at different times; BOR seen without BOM 15May19 by TCC VF",NA,"about 1 week old, lumpy, df erect"
"6","BUE","BUENAS","False","","","NOC","","","","","","",NA,"","","MONTH ESTIMATE",2013-07-15,"2013-06-15","2013-08-15","INFANT FIRST SIGHT","","JM","EK","mother last seen 23Jun11, EK estimated 3 months on 18Nov13, JM estimated 3-5 months on photos","","","","","","","","","MONTH ESTIMATE","2018-05-01","STOPPED SIGHTING POST WEANING","","DEFAULT DATE","JM","VF","YES","last seen with mom 31-May-17, mom seen without BUE 15-Nov-19 so given default date",NA,""
"7","BZD","BLIZZARD","False","FEMALE","HIGH","TOR","","","Maternal relative","E","","",NA,"","","MONTH ESTIMATE",2013-11-01,"2013-10-01","2013-12-01","SPRING SUMMER YOY","","JM","","looks like a yoy (JM)","","","","","","","","","WEEK ESTIMATE","2017-06-11","REDUCED MC ASSOCIATION","","MIDPOINT","EK","","YES","Last with mom 1Jun17 not with mom on 22Jun17",NA,""
"8","CBT","CABOT","False","UNKNOWN","","TST","","","maternal relative","A","","",NA,"","","MONTH ESTIMATE",2011-11-01,"","","","","EK","","","","","","","","","","","MONTH ESTIMATE","2016-07-18","REDUCED MC ASSOCIATION","GAP","MIDPOINT","JM","","YES","",NA,"yoy"
"9","COW","COWBOY","False","UNKNOWN","","MAV","","","","","","",NA,"","","WEEK ESTIMATE",2011-10-01,"2011-09-01","2011-10-15","INFANT FIRST SIGHT","","EK","","No fetal lines. Looks about 3 months old based on photos.","","","GAP","","","","","Mother seen every few years so gap in sightings.","","","","","","","","","",NA,""
"10","CRL","CORNELIUS","False","UNKNOWN","","THU","","","","","","",NA,"","","MONTH ESTIMATE",2011-11-01,"","","","","JM","","","","","RARELY SIGHTED","","","","","Distinctive fin but at Peron so could be on west side of Peron.","MONTH ESTIMATE","2014-08-29","","STOPPED SIGHTING POST WEANING","MIDPOINT","EK","JM","NO","Reduced MC association",NA,"yoy"
"11","CSN","CONSTANCE","False","UNKNOWN","","CTY","","","","","","",NA,"","","MONTH ESTIMATE",2013-11-01,"2013-11-01","2014-05-01","SPRING SUMMER YOY","","EK","","~ 1yr had no folds or stripes, df erect, weight and surfacing normal, most synchrony with mom, bp 1-5 min no ech or eye, Ctr, max distance from mom 2 predominant bp","","","","","","","","","YEAR ESTIMATE","2017-07-24","REDUCED MC ASSOCIATION","SIBLING BIRTH","MIDPOINT","JM","","YES","CSN could have been weaned in 2018 so put year estimate.",NA,""
"12","CTT","CANTATA","False","MALE","HIGH","CAD","","","","","","",NA,"","","MONTH ESTIMATE",2012-11-01,"2012-07-01","2012-12-01","","","MMW","","","","","","","","","","","MONTH ESTIMATE","2017-12-13","END BP","REDUCED MC ASSOCIATION","MIDPOINT","JM","","YES","Last seen BP 19May17 and then not together 9Jul18.",NA,"large yoy or maximum 1 year old, smaller than MAZ; entered by CBK"
"13","DCH","DRENCH","False","FEMALE","HIGH","SOG","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","WEEK ESTIMATE",2011-02-15,"","","","","JM","","","","","","","","","","","DAY ESTIMATE","2014-10-15","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","SOG DCH not seen earlier in 2014",NA,"CCC sighted 18-Mar-11 and said that calf was swimming near the eye or dorsal fin; fetal lines visible in photos"
"14","DEU","DEUCE","False","MALE","HIGH","DUR","RAS","HIGH","paternity based on snps","","","",NA,"","","DAY ESTIMATE",2011-11-21,"","2011-11-22","","","EK","","","","","","","","","","","MONTH ESTIMATE","2015-07-23","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","",NA,"looked to be 1-2 days old"
"15","DIP","DIPPER","False","UNKNOWN","","GLX","","","","","","",NA,"","","MONTH ESTIMATE",2012-05-02,"2011-11-01","2012-11-01","MOTHER FIRST SIGHT WITH CALF","","CBK","","first sighted 13-Jul-2014 est 1.5-2.5yrs (JM)","","","","","","","","","YEAR ESTIMATE","2015-08-31","GAP","STOPPED SIGHTING POST WEANING","MIDPOINT","JM","","NO","Last seen with mom 19-Jul-2014; mom seen 13-Oct-2016",NA,""
"16","DZZ","DRIZZLE","False","UNKNOWN","","SKW","","","","","","",NA,"","","WEEK ESTIMATE",2011-01-15,"","","","","JM","","","","","MOTHER CALF NOT SIGHTED SINCE","","","","","","","","","","","","","","",NA,"from CCC: no fetal folds or lines, seemed âroundishâ and healthy, no wavy trailing edge; surfacing normally, no chin slapping or corking; CCC estimated 2-3 months and JM agreed based on photos"
"17","EDM","EDAMAME","False","UNKNOWN","","UMM","","","Maternal relative","E","","",NA,"","","MONTH ESTIMATE",2011-11-01,"2011-09-01","2011-12-01","","","JM","","Given size of EDM at first sight and last sighting of UMM had to have been born by November 2011","","","","","","","","","MONTH ESTIMATE","2014-05-01","REDUCED MC ASSOCIATION","","DEFAULT DATE","JM","","YES","Used default date because using midpoint would have made calf too young at weaning.",NA,"EDM looks about 2 years old"
"18","EUH","EUCHRE","False","UNKNOWN","","KNG","","","","","","",NA,"","","MONTH ESTIMATE",2012-11-01,"2012-09-01","2012-12-01","","","MMW","","","","","","","","","","","YEAR ESTIMATE","2016-05-01","GAP","STOPPED SIGHTING POST WEANING","DEFAULT DATE","EK","JM","NO","EUH likely survived to weaning but there is a gap in sighting record so could have died preweaning.",NA,"approx 1 yr maximum at first sighting"
"19","EVN","EVIAN","False","FEMALE","HIGH","BRT","","","","","","",NA,"","","MONTH ESTIMATE",2013-01-01,"","","SPRING SUMMER YOY","","JM","","YOY looks about 6-8mos old","","","","","","","","","YEAR ESTIMATE","2016-05-01","MOTHER CALF NOT SIGHTED SINCE","","DEFAULT DATE","JM","","NO","last seen at age 2.7 so probably survived to age 3, given default weaning date",NA,"yoy, looks about 6-8 months"
"20","FAO","FARRO","False","FEMALE","HIGH","WHE","","","maternal relative","E","","",NA,"","","MONTH ESTIMATE",2012-02-01,"","","INFANT FIRST SIGHT","","EMP","","","","","","","","","","","MONTH ESTIMATE","2016-01-06","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","",NA,"yoy, smaller than KSE"
"21","FCH","FINCH","False","MALE","HIGH","ATC","TRN","LOW","Based on information from halfsiblings with known mothers","","","",NA,"","","MONTH ESTIMATE",2011-11-01,"2011-09-01","2012-02-01","SPRING SUMMER YOY","","JM","","ATCs calf (2012); sighted during 29-Oct-12 survey but unsure if it was present during 7-Jul-12 survey (may have been one of the yoys that joined the group) JM gave default date","","","","","","","","","YEAR ESTIMATE","2016-05-01","","","DEFAULT DATE","JM","","NO","Finch could have been weaned later. Atticus not seen since.",NA,""
"22","FIA","FIASCO","False","MALE","HIGH","HPP","","","","","","",NA,"","","YEAR ESTIMATE",2012-11-01,"2011-11-01","2012-11-01","GAP","","JM","","larger than MRQ on 15-Jul-2014 sighting","","","","","","","","","MONTH ESTIMATE","2017-01-22","REDUCED MC ASSOCIATION","","MIDPOINT","EK","","YES","",NA,""
"23","FTA","FANTASIA","False","MALE","HIGH","FRL","FRE","HIGH","haplotype assigned based on haplotype of mother","E","","",NA,"","","WEEK ESTIMATE",2011-12-15,"","","","","SAS","","CCC mentioned that the calf looked small, no fetal lines visble in photos","","","","","","","","","MONTH ESTIMATE","2016-06-01","SIBLING BIRTH","","OTHER","JM","","YES","Since FRL had FRC in late 2016, must have weaned soon after last sighting in 2016.",NA,""
"24","GAU","GAUCHE","False","UNKNOWN","","GAF","","","","","","",NA,"","","YEAR ESTIMATE",2012-11-01,"2012-06-28","2012-12-28","GAP","","EK","","2.5-3 yrs old","","","","","","","","","MONTH ESTIMATE","2015-12-08","SIBLING BIRTH","","MIDPOINT","JM","","YES","GAF with POF in late 2010, probably weaned POF in 2011 when pregnant with GAU, GAU born late 2011 and weaned during pregnancy with next calf.",NA,""
"25","GNZ","GONZO","False","UNKNOWN","","MIS","","","maternal relative","E","","",NA,"","","MONTH ESTIMATE",2013-11-01,"2013-09-01","2014-01-01","SPRING SUMMER YOY","","EK","","2 YRS OLD, LOOKED OLDER THAN NNA. EK SPOKE TO THERESA WHO SAW MIS IN 2014 WHO THOUGHT GNZ LOOKED OLDER THAN NNA BUT THOUGHT TO BE A YOY","","","","","","","","","YEAR ESTIMATE","2018-02-10","GAP","SIBLING BIRTH","MIDPOINT","VF","JM","NO","w/ mom 23-May-2016; next sibling born 1-Nov-2020.",NA,""
"26","GWL","GROWL","False","UNKNOWN","","MEO","","","","","","",NA,"","","MONTH ESTIMATE",2011-09-01,"2011-08-01","2011-12-01","INFANT FIRST SIGHT","SPRING SUMMER YOY","JM","","Even though GWL has appearance of fetal lines, the photos show a huge calf, clearly older than a year.","","","UNCERTAIN SURVIVAL STATUS PREWEANING","GAP","","","","Calf distinctive so could still be sighted.","","","","","","","","","",NA,"EK said looked 2-3 yrs old, but fetal lines visible in photo; JM says looks to big to be a yoy, need to look into this more"
"27","HAB","HABANERO","False","FEMALE","HIGH","CHL","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","WEEK ESTIMATE",2011-12-01,"2011-11-15","2012-01-01","","","EK","","calf is ~6 months, no fetal lines, df erect, normal weight, no echelon or eye, bp 1-5 min","","","","","","","","","MONTH ESTIMATE","2016-03-04","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","Mother not seen since 2Sep15 but HAB seen.",NA,"calf is ~6 months, no fetal lines, df erect, normal weight, no echelon or eye, bp 1-5 min"
"28","HML","HEMLOCK","False","","","CED","","","","","","",NA,"","","MONTH ESTIMATE",2012-11-01,"2012-09-01","2013-01-01","SPRING SUMMER YOY","","VF","JM","MMW looks like a yoy","","","UNCERTAIN SURVIVAL STATUS PREWEANING","","","","","","","","","","","","","NO","",NA,""
"29","HPY","HAPPY","False","UNKNOWN","","SNW","","","","","","",NA,"","","MONTH ESTIMATE",2013-03-01,"","","","","EMP","","","","","","","","","","","MONTH ESTIMATE","2016-07-18","REDUCED MC ASSOCIATION","GAP","MIDPOINT","JM","","YES","",NA,"yoy, calf looks same size as WZY"
