"","Dolphin.ID","Dolphin.Name","Temporary.Dolphin.Ind","Sex","Sex.Certainty","Mother.ID","Father.ID","Father.ID.Certainty","Father.Notes","Haplotype","Haplotype.Certainty","Haplotype.Kin.ID.Based.On","Haplotype.Kin.DNA.Sample.Based.On","Haplotype.Researcher","Haplotype.Notes","Birth.Date.Accuracy","Birth.Date","Birth.Date.Earliest","Birth.Date.Latest","Birth.Date.Primary.Reason","Birth.Date.Secondary.Reason","Birth.Date.Primary.Assigner","Birth.Date.Secondary.Assigner","Birth.Notes","Death.Date.Accuracy","Death.Date","Death.Date.Primary.Reason","Death.Date.Secondary.Reason","Death.Date.Calc.Type","Death.Date.Primary.Assigner","Death.Date.Secondary.Assigner","Death.Notes","Weaning.Date.Accuracy","Weaning.Date","Weaning.Date.Primary.Reason","Weaning.Date.Secondary.Reason","Weaning.Date.Calc.Type","Weaning.Date.Primary.Assigner","Weaning.Date.Secondary.Assigner","Weaning.Age.Known","Weaning.Notes","Last.Seen.Year","Dolphin.Notes"
"1","ANK","ANKLET","False","","","PEG","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","DAY ESTIMATE",2000-11-23,"","","INFANT FIRST SIGHT","","RW","","FOLDS, LUMPY, TRAILING EDGE OF DORSAL WAVY AND DORSAL FOLDED OVER, CLAF LENGTH OF MOTHERS FLUKES. CORKING UP. PEG AND CALF EITHER BEHIND OR IN FRONT OF REST OF GROUP (PUC, KIY, PIC, SQU, RHO)","DAY ESTIMATE","2001-01-11","DEAD PREWEANING","","MIDPOINT","JM","","","","","","","","","","DIED PREWEANING","",2001,""
"2","APO","APOLLO","False","MALE","HIGH","ATH","RAS","HIGH","SNPs both parents.","E","","",NA,"","","MONTH ESTIMATE",2003-11-01,"","","SPRING SUMMER YOY","","AKC","","YOY. Estimated Bday Dec 03 because sighted near the beginning of November [Oct 26] with no calf and no mention of very pregnant animal","YEAR ESTIMATE","2021-05-01","OVER 3 YEARS","","DEFAULT DATE","MHM","JM","","WEEK ESTIMATE","2007-06-25","REDUCED MC ASSOCIATION","","MIDPOINT","SAS","","YES","ESTIMATED B-DAY DEC 03 B/C SIGHTED NEAR THE BEGINNING OF NOV (OCT 26) WITH NO CALF AND NO MENTION OF VERY PREGNANT ANIMAL;",2007,""
"3","ART","ARTEMIS","False","MALE","HIGH","ATH","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","YEAR ESTIMATE",1999-11-01,"","","MOTHER FIRST SIGHT WITH CALF","","JJW","","LOOKS YOUNG, YOY OR 2 - JJW ON 9NOV01","","","","","","","","","YEAR ESTIMATE","2003-04-08","REDUCED MC ASSOCIATION","SIBLING BIRTH","","JM","","NO","BUT BIRTHDAY COULD BE ONE YEAR EARLIER;GUESSING B-DAY IS AT OR BEFORE 1999 B/C SEEN IN 2001 AND NO SIZE INFO MENTIONED-USUALLY MEANS NOT A YOY.",2005,""
"4","ATL","ATLAS","False","UNKNOWN","","ATH","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","WEEK ESTIMATE",2009-10-21,"2009-10-14","2009-10-28","","","MAS","","est 2-3 wks lumpy fetal lines","MONTH ESTIMATE","2010-03-17","DEAD PREWEANING","","MIDPOINT","SAS","","","","","","","","","","","",NA,"Estimated 2-3 weeks. Lumpy with fetal folds."
"5","AUR","AURORA","False","UNKNOWN","","MFC","","","","","","",NA,"","","YEAR ESTIMATE",2002-11-01,"2001-11-01","2002-11-01","","","JM","","","","","UNCERTAIN SURVIVAL STATUS PREWEANING","OVER 3 YEARS","","","","Calf not distinctive so uncertain if survived to weaning or post-weaning.","","","","","","","","NO","",NA,"RCC mentioned yoy in survey but didn't specify which calf was a yoy. JM estimates yoy or 1.5 yrs based on photos."
"6","BAC","BACON","False","","","MIS","","","haplotype assigned based on haplotype of mother","E","","",NA,"","","YEAR ESTIMATE",1993-11-01,"","","GAP","","JM","","OLDER CALF IN 95-ABOUT 2YRS BASED ON PHOTOS (JM)","","","STOPPED SIGHTING POST WEANING","","","","","","YEAR ESTIMATE","1998-05-01","","GAP","DEFAULT DATE","JM","","NO","AT LEAST 3, NOT SEEN SINCE",1997,""
"7","BAL","BALMY","False","","","SOG","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","DAY ESTIMATE",2004-11-15,"","","INFANT FIRST SIGHT","","RCC","","ECHELON, FETAL FOLDS, VERY YOUNG, LUMPY","WEEK ESTIMATE","2004-11-29","DEAD PREWEANING","","MIDPOINT","JM","","","","","","","","","","DIED PREWEANING","",2004,""
"8","BEE","BEETHOVEN","False","MALE","HIGH","SCH","","","","H","","",NA,"","","MONTH ESTIMATE",1997-11-01,"","","SPRING SUMMER YOY","","JM","","NO SIZE INFORMATION; SURVEY SHOWS SCH SEEN ON 18-MAY-98, BUT NO BEE; MUST HAVE BEEN BORN IN NOV AND 18-MAY-98 SIGHTING IS INCORRECT? MRH WOULDHAVE NOTICED IF VERY YOUNG YOY.","","","","","","","","","WEEK ESTIMATE","2003-09-09","REDUCED MC ASSOCIATION","SIBLING BIRTH","MIDPOINT","JM","","YES","MIDPOINT",2006,""
"9","BNB","BANANABOAT","False","UNKNOWN","","UVE","","","haplotype assigned based on haplotype of mother","A","","",NA,"","","DAY ESTIMATE",2009-09-30,"2009-09-23","2009-10-07","INFANT FIRST SIGHT","","MAS","","","YEAR ESTIMATE","2011-10-09","SIBLING BIRTH","","MIDPOINT","JM","","technically calf could have been weaned at 2 yrs of age, but seems unlikely","","","","","","","","","",NA,"est 2 wks, fetal lines, smooth"
"10","BYP","BUNYIP","False","MALE","HIGH","BOM","RSP","LOW","Based on SNPs one parent.","H","","",NA,"","","MONTH ESTIMATE",2008-11-01,"","","SPRING SUMMER YOY","","JM","","yoy","","","","","","","","","MONTH ESTIMATE","2012-08-16","","","MIDPOINT","JM","","YES","",NA,""
"11","CIN","CINCI","False","MALE","HIGH","BOM","","","","H","","",NA,"","","WEEK ESTIMATE",1999-03-26,"","","INFANT FIRST SIGHT","","MRH","","CALF IS 2 MOS OLD, CALF STILL HAS FETAL FOLDS;FETAL MARKS - STRIPES AND SMOOTH;DORSAL FIN NOT FULLY ERECT;SURFACINGS NORMAL ""POP-UP"" A BIT; NO BP","YEAR ESTIMATE","2004-05-01","STOPPED SIGHTING POST WEANING","SIGHTED OFTEN PREVIOUSLY","DEFAULT DATE","EK","JM","Disappeared soon after weaning. Distinctive enough that should have been seen.","MONTH ESTIMATE","2004-01-26","REDUCED MC ASSOCIATION","","MIDPOINT","JM","","YES","MIDPOINT",2006,""
"12","CLV","CLOVER","False","FEMALE","HIGH","UVE","PIK","HIGH","SNPs on both parents.","A","","",NA,"","","MONTH ESTIMATE",1996-11-01,"","1997-01-01","SSSS","","EK","JM","Seen first in 1998 (called Sunny) but no size information. Then seen again post-weaning, but small with slightly older juveniles. SNPs put UVE as mother of CLV. UVE had Sunny which is actually now CLV so Sunny name is deactivated. UVE surveyed with SUNNY now CLV together in 1998 but in 2000 surveys there were unknowns and she could have been there.","","","","","","","","","YEAR ESTIMATE","2000-05-01","","","DEFAULT DATE","JM","","NO","Unclear if UVE with CLV in 2000 surveys as there are some unknowns. COP born late 2001 so CLV weaned either in 2000 or 2001. Birthdate might be off by one year also.",2007,""
"13","CNO","CONCERTO","False","UNKNOWN","","CAD","","","","","","",NA,"","","YEAR ESTIMATE",2008-11-01,"2007-11-01","2009-11-01","","","JM","","","","","","","","","","CAD was with males when CNO sighted so calf could have been older and weaned subsequently, not dead.","","","","","","","","","",NA,"no age info on survey but JM estimated 1.5 yrs based on photos"
