"","Mother.ID","offspring_1","offspring_2","offspring_3","offspring_4","offspring_5","birth_date_1","birth_date_2","birth_date_3","birth_date_4","birth_date_5"
"1","AMO","ASY","","","","","2013-01-01","","","",""
"2","AMP","DER","MEO","PRS","VLT","RKS","1998-11-01","1994-11-01","2002-11-01","2006-12-01","2011-11-01"
"3","ATC","FCH","","","","","2011-11-01","","","",""
"4","ATH","APO","ART","PSP","","","2003-11-01","1999-11-01","2011-10-20","",""
"5","BLK","PIL","SGG","","","","2008-01-01","2013-08-01","","",""
"6","BOM","BYP","CIN","RAG","BOR","","2008-11-01","1999-03-26","2004-10-20","2012-10-14",""
"7","BRT","DAS","EVN","","","","2008-11-01","2013-01-01","","",""
"8","BSS","BLM","","","","","2011-11-20","","","",""
"9","CAB","TDL","","","","","2011-11-01","","","",""
"10","CAD","CTT","","","","","2012-11-01","","","",""
"11","CED","KAH","","","","","1998-11-01","","","",""
"12","CHL","HAB","","","","","2011-12-01","","","",""
"13","CKL","RBN","","","","","2011-11-01","","","",""
"14","COI","SDG","","","","","2011-11-24","","","",""
"15","CTY","CSN","","","","","2013-11-01","","","",""
"16","DUR","DEU","","","","","2011-11-21","","","",""
"17","FMN","WAX","","","","","2008-11-01","","","",""
"18","FRL","FSB","FTA","","","","2007-11-01","2011-12-15","","",""
"19","GAF","GOF","POF","GAU","","","2003-06-01","2006-11-01","2012-11-01","",""
"20","GLX","DIP","","","","","2012-05-02","","","",""
"21","GRV","COI","JIV","RDC","RGS","","1999-11-01","2009-11-01","2006-04-01","2012-11-01",""
"22","HPP","FIA","","","","","2012-11-01","","","",""
"23","HRS","KSE","","","","","2012-11-01","","","",""
"24","IBX","HYR","ORY","SYX","","","2006-12-01","2002-11-01","2013-10-01","",""
"25","IGB","IRI","","","","","2009-11-01","","","",""
"26","IND","CYN","AZU","","","","2007-11-01","2012-11-01","","",""
"27","JBG","JTB","","","","","2007-11-01","","","",""
"28","JMY","WON","","","","","2011-12-04","","","",""
"29","JUM","HOW","LFG","SKP","JAC","","2001-11-01","2008-01-03","1997-11-01","2012-03-01",""
"30","KIY","WIY","","","","","2012-11-06","","","",""
"31","KNG","EUH","","","","","2012-11-01","","","",""
"32","LIF","LUG","LMN","","","","1999-11-01","2012-08-19","","",""
"33","LLA","TNA","","","","","2011-11-01","","","",""
"34","MEO","PRR","","","","","2007-11-01","","","",""
"35","MIS","BAC","GNZ","","","","1993-11-01","2013-11-01","","",""
"36","MOU","MIG","MGC","","","","2003-11-15","2011-10-20","","",""
"37","MYS","ITG","","","","","2011-10-21","","","",""
"38","NOC","BUE","","","","","2013-07-15","","","",""
"39","PEG","STA","RKT","","","","2003-01-01","2012-03-23","","",""
"40","PHA","OPE","PHD","SIT","ZMB","","2007-12-01","1997-11-01","2003-11-01","2012-11-01",""
"41","PIC","EDE","FUT","PPE","","","2003-11-19","2007-11-13","2011-10-26","",""
"42","PNN","ZII","","","","","2011-11-01","","","",""
"43","PZL","RDL","","","","","2011-11-26","","","",""
"44","PZZ","PSS","POD","","","","2006-11-01","2013-11-01","","",""
"45","REG","JMC","LIS","MEY","RUM","NTA","2007-11-01","1988-11-01","2001-11-01","1998-11-01","2011-11-01"
"46","RSH","GUA","SSH","RKL","","","2006-11-01","2001-11-01","2011-02-15","",""
"47","SCH","BEE","MZT","SHB","","","1997-11-01","2008-11-01","2003-11-01","",""
"48","SHO","DBT","POU","WHR","SQE","","2005-11-01","2001-12-01","2009-11-03","2013-10-27",""
"49","SKW","CYC","HUR","","","","1995-11-01","1998-11-01","","",""
"50","SNW","HPY","","","","","2013-03-01","","","",""
"51","SOG","DMP","DCH","","","","2006-01-15","2011-02-15","","",""
"52","SPE","FRK","BBN","","","","2008-01-01","2012-11-01","","",""
"53","SUM","MAZ","","","","","2011-11-01","","","",""
"54","TAW","OWL","","","","","2011-10-19","","","",""
"55","THU","TOM","CRL","","","","1996-11-01","2011-11-01","","",""
"56","TOR","MNS","TDO","BZD","","","2009-11-01","2002-11-01","2013-11-01","",""
"57","TST","VCN","CBT","","","","2006-11-01","2011-11-01","","",""
"58","TUL","DAI","PPP","","","","2008-09-01","2013-10-25","","",""
"59","UMM","SVY","EDM","","","","2004-11-01","2011-11-01","","",""
"60","UVE","CLV","COP","SPM","","","1996-11-01","2001-11-01","2012-11-01","",""
"61","WHE","FAO","","","","","2012-02-01","","","",""
"62","WNG","SNV","TTM","WHN","WPY","","2010-01-01","2006-11-01","2002-11-01","2012-11-01",""
"63","WOF","WZY","","","","","2013-03-01","","","",""
